Agg Node,State,Hours,Bandwidth (Mbps),98th-%ile Payload (Mbps),*Spurious Capacity Provided,Total BW Limited Hours,BW Limited Days,Total Statistical Clipping Hours,Statistical Clipping Days,Likely Also RAN Limited,Congestion Model Fit,Model Congestion of Interest,Rank,Node ,Unknown
NOHD0X1,VIC,557,1000,1.8,,0,0,14,4,--,--,--,10673,NOHDLM1,
NOCYBX1,NSW,536,1000,3.61,,0,0,14,3,--,--,--,10674,NOCYLM2,
NOED0T1,WA,567,126,20.26,,0,0,18,5,--,--,--,10675,NOEDLM1,
NOAJ0X1,NSW,537,990,2.3,,0,0,13,3,--,--,--,10676,NOAJLM1,
NOBDCX1,VIC,557,1000,4.33,,0,0,20,4,--,--,--,10677,NOBDLM1,
NNTJ0X1,NSW,549,990,4.5,,0,0,13,2,--,--,--,10678,NNTJLM1,
NNLW0X1,QLD,531,990,3.94,,0,0,15,4,--,--,--,10679,NNLWLM1,
NNRQ,QLD,481,,11.35,,0,0,36,7,--,--,--,10680,NNRQLM0,
NNHDEX1,WA,532,1000,11.12,,0,0,15,3,--,--,--,10681,NNHDLM1,
NNLQ0X1,QLD,530,1000,4.51,,0,0,12,4,--,--,--,10682,NNLQLM1,
NNEK0X1,QLD,528,1000,7.27,,0,0,12,3,--,--,--,10683,NNEKLM1,
NNFN0X1,TAS,554,257,2.99,,0,0,15,2,--,--,--,10684,NNFNLM2,
NMYNBX1,VIC,554,1000,3.59,,0,0,17,5,--,--,--,10685,NMYNLM1,
NMNG0X1,NSW,550,165,17.74,,0,0,21,5,--,--,--,10686,NMNGLM1,
NMDD0X1,NSW,534,990,1.63,,0,0,14,3,--,--,--,10687,NMDDLM1,
NMGC,NSW,480,,11.33,,0,0,51,10,--,--,--,10688,NMGCLM0,
NMAT0X1,QLD,529,257,251.93,,68,19,107,21,--,--,--,10689,NMATLM0,
NMBD0X2,VIC,537,1000,5.14,,0,0,13,4,--,--,--,10690,NMBDLM1,
NMCW0X1,NSW,554,387,13.49,,0,0,18,3,--,--,--,10691,NMCWLM1,
NMDB0X1,NSW,553,1000,3.72,,0,0,18,4,--,--,--,10692,NMDBLM1,
NLJH0X1,NSW,547,990,6.06,,0,0,12,3,--,--,--,10693,NLJHLM1,
NLTW0X1,NSW,557,990,4.82,,0,0,15,4,--,--,--,10694,NLTWLM2,
NLTX0T1,NSW,482,10000,10.51,,0,0,13,3,--,--,--,10695,NLTXLM1,
NLGA0X1,SA,531,990,21.71,,0,0,13,3,--,--,--,10696,NLGALM1,
NLGH0X1,ACT,531,990,2.18,,0,0,15,5,--,--,--,10697,NLGHLM1,
NLDD0X1,VIC,538,1000,5.04,,0,0,14,4,--,--,--,10698,NLDDLM1,
NLEW,NT,498,,24.81,,0,0,41,9,--,--,--,10699,NLEWLM1,
NJAB0X1,NSW,535,990,2.08,,0,0,15,4,--,--,--,10700,NJABLM1,
NKPR0T1,NSW,482,81,49.44,,0,0,16,4,--,--,--,10701,NKPRLM0,
NIWE0X1,VIC,537,990,2.16,,0,0,14,3,--,--,--,10702,NIWELM1,
NIKIDX1,WA,553,1000,26.33,,0,0,16,4,--,--,--,10703,NIKILM1,
NIPW0T1,QLD,566,10000,2.81,,0,0,13,3,--,--,--,10704,IPTICBA,
NIPW0X1,QLD,526,1000,3.51,,0,0,16,4,--,--,--,10705,NIPWLM1,
NIDD0X1,VIC,558,990,2.66,,0,0,13,4,--,--,--,10706,NIDDLM1,
NIFD,WA,481,,21.82,,0,0,13,3,--,--,--,10707,NIFDLM2,
NHSMBX1,,552,,1.82,,0,0,16,5,--,--,--,10708,,
NIAN0X1,SA,554,165,10.23,,0,0,16,3,--,--,--,10709,NIANLM1,
NHSG0X1,VIC,552,990,2.89,,0,0,13,1,--,--,--,10710,NHSGLM1,
NHBGDX1,TAS,485,1000,20.15,,0,0,11,2,--,--,--,10711,NHBGLM1,
NHCQ0X1,QLD,532,1000,19.72,,0,0,19,7,--,--,--,10712,NHCQLM1,
NHED0X1,VIC,557,990,1.02,,0,0,14,3,--,--,--,10713,NHEDLM1,
NGWR0X1,SA,531,81,2.09,,0,0,12,3,--,--,--,10714,NGWRLM2,
NGXD0X1,,532,,97.89,,0,0,22,3,--,--,--,10715,,
NHBG0X2,,556,,5.39,,0,0,13,2,--,--,--,10716,,
NGTEBX1,SA,554,1000,3.95,,0,0,13,2,--,--,--,10717,NGTELM1,
NGES0X1,QLD,528,990,3.57,,0,0,17,4,--,--,--,10718,NGESLM1,
NGAU0T1,WA,425,81,28.92,,0,0,9,2,--,--,--,10719,NGAULM1,
NGBD0X1,VIC,553,1000,5.22,,0,0,12,2,--,--,--,10720,NGBDLM1,
NGBE0X1,QLD,547,1000,5.03,,0,0,12,3,--,--,--,10721,NGBELM1,
NFYY0X1,SA,553,990,3.86,,0,0,16,4,--,--,--,10722,NFYYLM1,
NFSO0X1,VIC,537,990,2.94,,0,0,13,3,--,--,--,10723,NFSOLM1,
NFNDBX1,VIC,558,1000,7.39,,0,0,14,4,--,--,--,10724,NFNDLM1,
NFEBBX4,WA,531,80,1.02,,0,0,14,5,--,--,--,10725,NFEBLM1,
NFED0X1,SA,531,990,1.67,,0,0,13,4,--,--,--,10726,NFEDLM1,
NEWL0X1,VIC,536,990,5.73,,0,0,13,4,--,--,--,10727,NEWLLM1,
NEYD,WA,497,,18.02,,0,0,14,4,--,--,--,10728,NEYDLM1,
NEYD0W1,WA,534,1000,5.95,,0,0,16,4,--,--,--,10729,NEYDLM2,
NEYG0X1,NSW,556,1000,3.51,,0,0,13,4,--,--,--,10730,NEYGLM1,
NERT0X1,QLD,547,990,4.51,,0,0,15,4,--,--,--,10731,NERTLM1,
NERWBX1,QLD,528,1000,9.87,,0,0,22,6,--,--,--,10732,NERWLM1,
NEUH0X1,NSW,536,1000,2.03,,0,0,15,4,--,--,--,10733,NEUHLM1,
NENW0X1,QLD,531,990,2.81,,0,0,13,5,--,--,--,10734,NENWLM2,
NEOD0X2,TAS,554,165,10.13,,0,0,18,3,--,--,--,10735,NEODLM1,
NEPD0X1,VIC,557,990,1.61,,0,0,13,4,--,--,--,10736,NEPDLM1,
NEPKBX1,NSW,556,1000,6.74,,0,0,16,3,--,--,--,10737,NEPKLM1,
NELY0X1,QLD,529,130,87.4,,0,0,52,16,--,--,--,10738,NELYLM0,
NEMDBX1,WA,531,1000,33.91,,0,0,16,5,--,--,--,10739,NEMDLM1,
NEJE0X1,VIC,551,1000,3.1,,0,0,15,1,--,--,--,10740,NEJELM1,
NEKZ0X1,WA,531,990,5.89,,0,0,13,5,--,--,--,10741,NEKZLM1,
NEEW0X1,NSW,557,990,5.71,,0,0,12,1,--,--,--,10742,NEEWLM1,
NEGR0X1,SA,532,123,6.57,,0,0,11,2,--,--,--,10743,NEGRLM1,
NDBH0X2,QLD,548,990,3.46,,0,0,14,5,--,--,--,10744,NDBHLM1,
NDFNBX1,WA,553,1000,3.08,,0,0,12,2,--,--,--,10745,NDFNLM2,
NDGDBX1,WA,531,1000,1.75,,0,0,13,4,--,--,--,10746,NDGDLM1,
NCUN0X1,NSW,538,990,4.91,,0,0,11,1,--,--,--,10747,NCUNLM1,
NCPL0X1,QLD,530,990,2.32,,0,0,17,6,--,--,--,10748,NCPLLM1,
NCKC0X1,VIC,554,257,4.54,,0,0,14,4,--,--,--,10749,NCKCLM1,
NCNZ,,339,,21.34,,0,0,30,8,--,--,--,10750,,
NCES0X1,SA,530,257,8.29,,0,0,14,2,--,--,--,10751,NCESLM1,
NCEABX1,NSW,556,1000,4.28,,0,0,12,1,--,--,--,10752,NCEALM3,
NCER0X1,VIC,557,990,2.05,,0,0,13,2,--,--,--,10753,NCERLM1,
NBVM0X1,NSW,536,1000,1.03,,0,0,14,2,--,--,--,10754,NBVMLM2,
NAYB0X1,NSW,554,123,7.37,,0,0,16,5,--,--,--,10755,NAYBLM1,
NAYD0X1,VIC,556,1000,2.02,,0,0,13,4,--,--,--,10756,NAYDLM1,
NAYH0X1,ACT,555,990,2.43,,0,0,21,4,--,--,--,10757,NAYHLM1,
NBAR0X1,QLD,530,990,4.31,,0,0,15,3,--,--,--,10758,NBARLM1,
NAOVBX1,NSW,557,1000,1.31,,0,0,14,4,--,--,--,10759,NAOVLM1,
NAJM0X1,VIC,482,1000,2.16,,0,0,12,2,--,--,--,10760,NAJMLBA,
NALO0X1,NSW,550,990,6.13,,0,0,15,3,--,--,--,10761,NALOLM1,
NAMR0X1,QLD,529,1000,20.65,,0,0,18,8,--,--,--,10762,NAMRLM1,
NAGD0X1,,532,,108.85,,0,0,25,8,--,--,--,10763,,
NAHL,TAS,563,,89.77,,0,0,19,5,--,--,--,10764,NAHLCM1,
NAHL0X1,TAS,551,990,4.15,,0,0,15,3,--,--,--,10765,NAHLLM1,
NAEH0X1,NSW,538,990,180.19,,0,0,41,7,--,--,--,10766,NAEHLM1,
NADR0X1,NSW,554,123,3.55,,0,0,17,4,--,--,--,10767,NADRLM0,
MZTNBX1,SA,531,1000,1.92,,0,0,15,4,--,--,--,10768,MZTNLM1,
MZED0X1,VIC,557,990,2.37,,0,0,17,5,--,--,--,10769,MZEDLM1,
MZQO,WA,480,,7.68,,0,0,12,2,--,--,--,10770,MZQOLM1,
MZCC0T1,TAS,485,207,18.53,,0,0,11,4,--,--,--,10771,MZCCLM0,
MYTN0X1,QLD,549,1000,4.42,,0,0,14,4,--,--,--,10772,MYTNLM1,
MYVU0X1,QLD,547,1000,1.47,,0,0,14,5,--,--,--,10773,MYVULBA,
MYWTBX1,NSW,557,1000,3.03,,0,0,13,4,--,--,--,10774,MYWTLM1,
MYME0X1,QLD,549,1000,5.56,,0,0,21,7,--,--,--,10775,MYMELM1,
MYQRBX1,NSW,556,1000,6.03,,0,0,12,3,--,--,--,10776,MYQRLM1,
MYKC,QLD,483,,10.84,,0,0,39,8,--,--,--,10777,MYKCLM0,
MYLO0X1,SA,533,123,5.56,,0,0,12,2,--,--,--,10778,MYLOLM1,
MYJT0X1,WA,530,990,4.37,,0,0,16,5,--,--,--,10779,MYJTLM1,
MYHDBX1,VIC,551,1000,1.71,,0,0,13,3,--,--,--,10780,MYHDLM1,
MYHP,VIC,483,,3.49,,0,0,13,4,--,--,--,10781,MYHPLBA,
MYCA0X1,NSW,555,990,2.78,,0,0,17,5,--,--,--,10782,MYCALM1,
MYCEBL1,,529,,72.27,,0,0,28,8,--,--,--,10783,,
MYBU0X1,NSW,555,990,2.09,,0,0,13,4,--,--,--,10784,MYBULM1,
MXSN0X1,NSW,551,990,1.1,,0,0,16,4,--,--,--,10785,MXSNLM1,
MXTO0T1,SA,483,257,23.13,,0,0,153,21,--,--,--,10786,MXTOLM1,
MXND0X1,VIC,551,1000,4.39,,0,0,15,5,--,--,--,10787,MXNDLM1,
MXRA,NSW,481,,11.02,,0,0,28,9,--,--,--,10788,MXRALM0,
MXKD0X1,VIC,552,1000,6.25,,0,0,13,2,--,--,--,10789,MXKDLM1,
MXJD0T2,QLD,566,9990,881.5,,0,0,25,7,--,--,--,10790,BBWRCM1,
MXJJ0T2,QLD,566,9990,1600.61,,0,0,27,7,--,--,--,10791,BHUKCM1,
MXCD0X1,VIC,538,1000,4.58,,0,0,14,4,--,--,--,10792,MXCDLM1,
MXEL0X1,QLD,530,990,2.74,,0,0,15,3,--,--,--,10793,MXELLM1,
MXGDCX1,VIC,539,1000,2.32,,0,0,18,4,--,--,--,10794,MXGDLM1,
MWZD0X1,VIC,536,990,2.14,,0,0,13,3,--,--,--,10795,MWZDLM1,
MWZG,VIC,498,,23.94,,0,0,12,4,--,--,--,10796,MWZGLM1,
MWZG0X1,,537,,6.8,,0,0,15,4,--,--,--,10797,,
MWYDBX1,VIC,551,1000,1.85,,0,0,13,4,--,--,--,10798,MWYDLM1,
MWXDBX1,VIC,555,1000,1.17,,0,0,14,3,--,--,--,10799,MWXDLM1,
MWXG0X1,VIC,550,990,1,,0,0,14,3,--,--,--,10800,MWXGLM1,
MWPWBX1,VIC,556,1000,1.19,,0,0,12,3,--,--,--,10801,MWPWLM1,
MWRMCX1,NSW,555,252,15.98,,0,0,18,6,--,--,--,10802,MWRMLM1,
MWOO0X1,NT,481,1000,31.43,,0,0,17,4,--,--,--,10803,MWOOLM1,
MWNR0X1,QLD,530,1000,4.56,,0,0,15,4,--,--,--,10804,MWNRLM1,
MWNL0X1,SA,498,1000,3.55,,0,0,12,3,--,--,--,10805,MWNLLM1,
MWNLBX2,SA,554,1000,2.87,,0,0,17,3,--,--,--,10806,MWNLLM3,
MWLO0X1,VIC,537,260,11.2,,0,0,15,3,--,--,--,10807,MWLOLM1,
MWMD,TAS,485,,1.55,,0,0,11,3,--,--,--,10808,MWMDLBA,
MWMY0T1,NSW,564,990,1.91,,0,0,15,3,--,--,--,10809,MWMYLM1,
MWID0X1,WA,532,84,66.22,,0,0,25,8,--,--,--,10810,MWIDLM1,
MWGG0X1,NSW,556,123,4.04,,0,0,17,5,--,--,--,10811,MWGGLM1,
MWFX0X1,NSW,536,990,5.06,,0,0,13,4,--,--,--,10812,MWFXLBA,
MWDK0X1,NSW,537,387,2.04,,0,0,12,1,--,--,--,10813,MWDKLM1,
MWEG0X2,NSW,537,21,10.76,,0,0,65,14,--,--,--,10814,MWEGLM1,
MWEH0X1,NSW,554,1000,4.68,,0,0,12,1,--,--,--,10815,MWEHLM1,
MWAG0X1,NSW,535,990,5.83,,0,0,13,4,--,--,--,10816,MWAGLM1,
MWDG0X1,NSW,552,990,2.54,,0,0,12,3,--,--,--,10817,MWDGLM1,
MVZG0X1,VIC,536,990,1.91,,0,0,18,4,--,--,--,10818,MVZGLM1,
MVXD0T2,WA,567,81,12.07,,0,0,13,2,--,--,--,10819,MVXDLM1,
MVVT0X1,TAS,535,165,7.89,,0,0,15,4,--,--,--,10820,MVVTLM1,
MVWFCX1,VIC,552,1000,38.02,,0,0,19,3,--,--,--,10821,MVWFLM1,
MVVN0X1,SA,554,1000,2.91,,0,0,16,5,--,--,--,10822,MVVNLM1,
MVSACX1,NSW,536,165,7.19,,0,0,12,2,--,--,--,10823,MVSALM1,
MVRY0X1,NSW,556,990,2.54,,0,0,15,3,--,--,--,10824,MVRYLM1,
MVOV0T1,WA,418,10000,50.14,,0,0,18,6,--,--,--,10825,MVOVLM0,
MVOY0X1,QLD,529,990,26.55,,0,0,18,4,--,--,--,10826,MVOYLM1,
MVPE0X1,SA,553,1000,5.19,,0,0,16,4,--,--,--,10827,MVPELM1,
MVOL0X1,WA,552,990,3.14,,0,0,14,4,--,--,--,10828,MVOLLM1,
MVNQ,WA,498,,18.79,,0,0,17,4,--,--,--,10829,MVNQLM0,
MVNU,SA,498,,2.44,,0,0,13,1,--,--,--,10830,MVNULM0,
MVNV,SA,483,,1.95,,0,0,12,2,--,--,--,10831,MVNVLM0,
MVOA0X1,TAS,536,123,7.74,,0,0,14,3,--,--,--,10832,MVOALM1,
MVMA0T1,,564,,157.92,,0,0,24,6,--,--,--,10833,,
MVND0T1,WA,481,257,20.67,,0,0,17,6,--,--,--,10834,MVNDLM0,
MVNL0X1,VIC,553,990,2.58,,0,0,16,4,--,--,--,10835,MVNLLM1,
MVKY0X1,QLD,529,990,6.9,,0,0,13,1,--,--,--,10836,MVKYLM1,
MVJF0X1,NSW,537,990,1.89,,0,0,15,3,--,--,--,10837,MVJFLM1,
MVGX0X1,WA,530,84,20.91,,0,0,13,3,--,--,--,10838,MVGXLM1,
MVID0X1,WA,531,990,3.54,,0,0,15,4,--,--,--,10839,MVIDLM1,
MVIG0X1,NSW,555,990,6.42,,0,0,18,4,--,--,--,10840,MVIGLM1,
MVIV0X1,QLD,530,123,21.27,,0,0,21,6,--,--,--,10841,MVIVLM1,
MVFQ0X1,QLD,528,1000,3.83,,0,0,14,4,--,--,--,10842,MVFQLM1,
